日期,试卷,政治理论_总题数,政治理论_正确数,政治理论_用时,政治理论_正确率,常识判断_总题数,常识判断_正确数,常识判断_用时,常识判断_正确率,言语-逻辑填空_总题数,言语-逻辑填空_正确数,言语-逻辑填空_用时,言语-逻辑填空_正确率,言语-片段阅读_总题数,言语-片段阅读_正确数,言语-片段阅读_用时,言语-片段阅读_正确率,数量关系_总题数,数量关系_正确数,数量关系_用时,数量关系_正确率,判断-图形推理_总题数,判断-图形推理_正确数,判断-图形推理_用时,判断-图形推理_正确率,判断-定义判断_总题数,判断-定义判断_正确数,判断-定义判断_用时,判断-定义判断_正确率,判断-类比推理_总题数,判断-类比推理_正确数,判断-类比推理_用时,判断-类比推理_正确率,判断-逻辑判断_总题数,判断-逻辑判断_正确数,判断-逻辑判断_用时,判断-逻辑判断_正确率,资料分析_总题数,资料分析_正确数,资料分析_用时,资料分析_正确率,总分,总正确数,总题数,总用时
2026-02-05,一,15,9,5,0.6,15,9,5,0.6,10,9,9,0.9,15,9,9,0.6,15,9,25,0.6,5,3,5,0.6,10,8,10,0.8,10,8,5,0.8,10,8,15,0.8,20,18,25,0.9,73.9,90,125,113
2026-02-04,粉笔组卷一,15,10,8,0.6666666666666666,15,5,8,0.3333333333333333,10,7,7,0.7,15,13,12,0.8666666666666667,15,6,23,0.4,5,5,8,1.0,10,8,8,0.8,10,6,5,0.6,10,10,8,1.0,20,17,20,0.85,72.4,87,125,107
